,country_name,total_cases,total_deaths,total_recovered,lat,long,text
131,Papua New Guinea,2,,,-6.314993,143.95555,"Country: Papua New Guinea
 Total Case:2
 Total Death:
 Total Recovered:"
132,Philippines,5453,349,353,12.879721,121.774017,"Country: Philippines
 Total Case:5453
 Total Death:349
 Total Recovered:353"
133,Pakistan,5988,107,1446,30.375321,69.345116,"Country: Pakistan
 Total Case:5988
 Total Death:107
 Total Recovered:1446"
134,Poland,7582,286,668,51.919438,19.145136,"Country: Poland
 Total Case:7582
 Total Death:286
 Total Recovered:668"
135,Portugal,18091,599,383,39.399872,-8.224454,"Country: Portugal
 Total Case:18091
 Total Death:599
 Total Recovered:383"
136,Paraguay,161,8,23,-23.442503,-58.443832,"Country: Paraguay
 Total Case:161
 Total Death:8
 Total Recovered:23"
137,Qatar,3711,7,406,25.354826,51.183884,"Country: Qatar
 Total Case:3711
 Total Death:7
 Total Recovered:406"
138,Réunion,391,,40,-21.115141,55.536384,"Country: Réunion
 Total Case:391
 Total Death:
 Total Recovered:40"
139,Romania,7216,362,1217,45.943161,24.96676,"Country: Romania
 Total Case:7216
 Total Death:362
 Total Recovered:1217"
140,Serbia,4873,99,400,44.016521,21.005859,"Country: Serbia
 Total Case:4873
 Total Death:99
 Total Recovered:400"
141,Russia,24490,198,1986,61.52401,105.318756,"Country: Russia
 Total Case:24490
 Total Death:198
 Total Recovered:1986"
142,Rwanda,134,,49,-1.940278,29.873888,"Country: Rwanda
 Total Case:134
 Total Death:
 Total Recovered:49"
143,Saudi Arabia,5862,79,931,23.885942,45.079162,"Country: Saudi Arabia
 Total Case:5862
 Total Death:79
 Total Recovered:931"
144,Seychelles,11,,,-4.679574,55.491977,"Country: Seychelles
 Total Case:11
 Total Death:
 Total Recovered:"
145,Sudan,32,5,4,12.862807,30.217636,"Country: Sudan
 Total Case:32
 Total Death:5
 Total Recovered:4"
146,Sweden,11927,1203,381,60.128161,18.643501,"Country: Sweden
 Total Case:11927
 Total Death:1203
 Total Recovered:381"
147,Singapore,3699,10,652,1.352083,103.819836,"Country: Singapore
 Total Case:3699
 Total Death:10
 Total Recovered:652"
148,Slovenia,1248,61,165,46.151241,14.995463,"Country: Slovenia
 Total Case:1248
 Total Death:61
 Total Recovered:165"
149,Slovakia,863,6,151,48.669026,19.699024,"Country: Slovakia
 Total Case:863
 Total Death:6
 Total Recovered:151"
150,Sierra Leone,13,,,8.460555,-11.779889,"Country: Sierra Leone
 Total Case:13
 Total Death:
 Total Recovered:"
151,San Marino,372,36,53,43.94236,12.457777,"Country: San Marino
 Total Case:372
 Total Death:36
 Total Recovered:53"
152,Senegal,314,2,190,14.497401,-14.452362,"Country: Senegal
 Total Case:314
 Total Death:2
 Total Recovered:190"
153,Somalia,60,2,2,5.152149,46.199616,"Country: Somalia
 Total Case:60
 Total Death:2
 Total Recovered:2"
154,Suriname,10,1,6,3.919305,-56.027783,"Country: Suriname
 Total Case:10
 Total Death:1
 Total Recovered:6"
155,El Salvador,159,6,30,13.794185,-88.89653,"Country: El Salvador
 Total Case:159
 Total Death:6
 Total Recovered:30"
156,Syria,29,2,5,34.802075,38.996815,"Country: Syria
 Total Case:29
 Total Death:2
 Total Recovered:5"
157,Chad,23,,2,15.454166,18.732207,"Country: Chad
 Total Case:23
 Total Death:
 Total Recovered:2"
158,Togo,81,3,35,8.619543,0.824782,"Country: Togo
 Total Case:81
 Total Death:3
 Total Recovered:35"
159,Thailand,2643,43,1497,15.870032,100.992541,"Country: Thailand
 Total Case:2643
 Total Death:43
 Total Recovered:1497"
160,Timor-Leste,8,,1,-8.874217,125.727539,"Country: Timor-Leste
 Total Case:8
 Total Death:
 Total Recovered:1"
161,Tunisia,747,34,43,33.886917,9.537499,"Country: Tunisia
 Total Case:747
 Total Death:34
 Total Recovered:43"
162,Turkey,65111,1403,4799,38.963745,35.243322,"Country: Turkey
 Total Case:65111
 Total Death:1403
 Total Recovered:4799"
163,Taiwan,395,6,137,23.69781,120.960515,"Country: Taiwan
 Total Case:395
 Total Death:6
 Total Recovered:137"
164,Tanzania,88,4,11,-6.369028,34.888822,"Country: Tanzania
 Total Case:88
 Total Death:4
 Total Recovered:11"
165,Ukraine,3764,108,143,48.379433,31.16558,"Country: Ukraine
 Total Case:3764
 Total Death:108
 Total Recovered:143"
166,Uganda,55,,12,1.373333,32.290275,"Country: Uganda
 Total Case:55
 Total Death:
 Total Recovered:12"
167,Uruguay,492,8,260,-32.522779,-55.765835,"Country: Uruguay
 Total Case:492
 Total Death:8
 Total Recovered:260"
168,Uzbekistan,1275,4,107,41.377491,64.585262,"Country: Uzbekistan
 Total Case:1275
 Total Death:4
 Total Recovered:107"
169,Vatican City,8,,2,41.902916,12.453389,"Country: Vatican City
 Total Case:8
 Total Death:
 Total Recovered:2"
170,Venezuela,197,9,111,6.42375,-66.58973,"Country: Venezuela
 Total Case:197
 Total Death:9
 Total Recovered:111"
171,British Virgin Islands,3,,2,18.420695,-64.639968,"Country: British Virgin Islands
 Total Case:3
 Total Death:
 Total Recovered:2"
172,Vietnam,267,,171,14.058324,108.277199,"Country: Vietnam
 Total Case:267
 Total Death:
 Total Recovered:171"
173,Yemen,1,,,15.552727,48.516388,"Country: Yemen
 Total Case:1
 Total Death:
 Total Recovered:"
174,Mayotte,217,3,69,-12.8275,45.166244,"Country: Mayotte
 Total Case:217
 Total Death:3
 Total Recovered:69"
175,South Africa,2506,27,410,-30.559482,22.937506,"Country: South Africa
 Total Case:2506
 Total Death:27
 Total Recovered:410"
176,Zambia,48,2,30,-13.133897,27.849332,"Country: Zambia
 Total Case:48
 Total Death:2
 Total Recovered:30"
177,Zimbabwe,18,3,1,-19.015438,29.154857,"Country: Zimbabwe
 Total Case:18
 Total Death:3
 Total Recovered:1"
178,USA,619331,27176,47069,37.09024,-95.712891,"Country: USA
 Total Case:619331
 Total Death:27176
 Total Recovered:47069
"
179,UK,98476,12868,N/A,55.378051,-3.435973,"Country: UK
 Total Case:98476
 Total Death:12868
 Total Recovered:N/A
"
